Dates,Dates,MSLP,SIE,Unnamed: 3,Unnamed: 4,Unnamed: 5,year,day,month
2.0,19.0,3605.7432454545456,2.8320909090909097,,,,2017.0,19.0,2.0
2.0,20.0,3672.0131181818183,2.837545454545454,,,,2017.0,20.0,2.0
2.0,21.0,3705.2990363636363,2.8316363636363633,,,,2017.0,21.0,2.0
2.0,22.0,3638.399827272727,2.8280909090909088,,,,2017.0,22.0,2.0
2.0,23.0,3570.221218181818,2.826636363636364,,,,2017.0,23.0,2.0
2.0,24.0,3565.4914909090917,2.8272727272727276,,,,2017.0,24.0,2.0
2.0,25.0,3698.569590909091,2.8475454545454544,,,,2017.0,25.0,2.0
2.0,26.0,3794.7553090909087,2.8658181818181814,,,,2017.0,26.0,2.0
2.0,27.0,3696.1207363636363,2.874181818181818,,,,2017.0,27.0,2.0
2.0,28.0,3669.9850909090906,2.9044545454545454,,,,2017.0,28.0,2.0
2.0,29.0,3560.9661666666666,2.914666666666667,,,,2016.0,29.0,2.0
3.0,1.0,3640.392390909091,2.9374545454545453,,,,2017.0,1.0,3.0
3.0,2.0,3432.0536181818184,2.992,,,,2017.0,2.0,3.0
3.0,3.0,3400.307890909091,3.044545454545455,,,,2017.0,3.0,3.0
3.0,4.0,3581.2372,3.113363636363637,,,,2017.0,4.0,3.0
3.0,5.0,3714.1172,3.1680909090909095,,,,2017.0,5.0,3.0
3.0,6.0,3818.7400545454543,3.2236363636363636,,,,2017.0,6.0,3.0
3.0,7.0,3860.140636363636,3.2793636363636365,,,,2017.0,7.0,3.0
3.0,8.0,3822.710618181819,3.3594545454545455,,,,2017.0,8.0,3.0
3.0,9.0,3832.6189363636363,3.4389090909090907,,,,2017.0,9.0,3.0
3.0,10.0,3814.9581000000003,3.511636363636363,,,,2017.0,10.0,3.0
3.0,11.0,3815.211254545455,3.581818181818181,,,,2017.0,11.0,3.0
3.0,12.0,3881.269190909091,3.6677272727272725,,,,2017.0,12.0,3.0
3.0,13.0,4070.904109090909,3.7531818181818184,,,,2017.0,13.0,3.0
3.0,14.0,4117.819563636363,3.8210909090909095,,,,2017.0,14.0,3.0
3.0,15.0,4132.0536454545445,3.880363636363636,,,,2017.0,15.0,3.0
3.0,16.0,4092.6253636363645,3.956,,,,2017.0,16.0,3.0
3.0,17.0,4074.785872727273,4.030818181818183,,,,2017.0,17.0,3.0
3.0,18.0,4192.9211636363625,4.113545454545455,,,,2017.0,18.0,3.0
3.0,19.0,4288.882809090909,4.216363636363638,,,,2017.0,19.0,3.0
3.0,20.0,4367.31959090909,4.295818181818182,,,,2017.0,20.0,3.0
3.0,21.0,4361.415818181818,4.385727272727272,,,,2017.0,21.0,3.0
3.0,22.0,4130.146636363636,4.469,,,,2017.0,22.0,3.0
3.0,23.0,4150.266645454546,4.565454545454546,,,,2017.0,23.0,3.0
3.0,24.0,4385.531599999999,4.654999999999999,,,,2017.0,24.0,3.0
3.0,25.0,4449.768463636364,4.744363636363636,,,,2017.0,25.0,3.0
3.0,26.0,4184.918336363637,4.840181818181818,,,,2017.0,26.0,3.0
3.0,27.0,4081.9144272727276,4.937,,,,2017.0,27.0,3.0
3.0,28.0,4024.6548090909096,5.034272727272728,,,,2017.0,28.0,3.0
3.0,29.0,3841.875018181818,5.116545454545453,,,,2017.0,29.0,3.0
3.0,30.0,3806.6005,5.191999999999999,,,,2017.0,30.0,3.0
3.0,31.0,3895.3203090909096,5.292363636363637,,,,2017.0,31.0,3.0
4.0,1.0,3960.052581818182,5.393909090909091,,,,2017.0,1.0,4.0
4.0,2.0,3965.6235636363635,5.503090909090909,,,,2017.0,2.0,4.0
4.0,3.0,3900.300772727272,5.592181818181818,,,,2017.0,3.0,4.0
