time,Year,Month,Day,SIE
1/5/13,2013,1,5,6-Jan-00
1/6/13,2013,1,6,6-Jan-00
1/7/13,2013,1,7,6-Jan-00
1/8/13,2013,1,8,6-Jan-00
1/9/13,2013,1,9,6-Jan-00
1/10/13,2013,1,10,6-Jan-00
1/11/13,2013,1,11,6-Jan-00
1/12/13,2013,1,12,5-Jan-00
13/1/2013,2013,1,13,5-Jan-00
14/1/2013,2013,1,14,5-Jan-00
15/1/2013,2013,1,15,5-Jan-00
16/1/2013,2013,1,16,5-Jan-00
17/1/2013,2013,1,17,5-Jan-00
18/1/2013,2013,1,18,5-Jan-00
19/1/2013,2013,1,19,5-Jan-00
20/1/2013,2013,1,20,5-Jan-00
21/1/2013,2013,1,21,4-Jan-00
22/1/2013,2013,1,22,4-Jan-00
23/1/2013,2013,1,23,4-Jan-00
24/1/2013,2013,1,24,4-Jan-00
25/1/2013,2013,1,25,4-Jan-00
26/1/2013,2013,1,26,4-Jan-00
27/1/2013,2013,1,27,4-Jan-00
28/1/2013,2013,1,28,4-Jan-00
29/1/2013,2013,1,29,4-Jan-00
30/1/2013,2013,1,30,4-Jan-00
31/1/2013,2013,1,31,4-Jan-00
2/1/13,2013,2,1,4-Jan-00
2/2/13,2013,2,2,4-Jan-00
2/3/13,2013,2,3,4-Jan-00
2/4/13,2013,2,4,4-Jan-00
2/5/13,2013,2,5,3-Jan-00
2/6/13,2013,2,6,3-Jan-00
2/7/13,2013,2,7,3-Jan-00
2/8/13,2013,2,8,3-Jan-00
2/9/13,2013,2,9,3-Jan-00
2/10/13,2013,2,10,3-Jan-00
2/11/13,2013,2,11,3-Jan-00
2/12/13,2013,2,12,3-Jan-00
13/2/2013,2013,2,13,3-Jan-00
14/2/2013,2013,2,14,3-Jan-00
15/2/2013,2013,2,15,3-Jan-00
16/2/2013,2013,2,16,3-Jan-00
17/2/2013,2013,2,17,3-Jan-00
18/2/2013,2013,2,18,3-Jan-00
19/2/2013,2013,2,19,3-Jan-00
20/2/2013,2013,2,20,3-Jan-00
21/2/2013,2013,2,21,3-Jan-00
22/2/2013,2013,2,22,3-Jan-00
23/2/2013,2013,2,23,3-Jan-00
24/2/2013,2013,2,24,3-Jan-00
25/2/2013,2013,2,25,3-Jan-00
26/2/2013,2013,2,26,3-Jan-00
27/2/2013,2013,2,27,3-Jan-00
28/2/2013,2013,2,28,3-Jan-00
3/1/13,2013,3,1,3-Jan-00
3/2/13,2013,3,2,4-Jan-00
3/3/13,2013,3,3,4-Jan-00
3/4/13,2013,3,4,4-Jan-00
3/5/13,2013,3,5,4-Jan-00
3/6/13,2013,3,6,4-Jan-00
3/7/13,2013,3,7,4-Jan-00
3/8/13,2013,3,8,4-Jan-00
3/9/13,2013,3,9,4-Jan-00
3/10/13,2013,3,10,4-Jan-00
3/11/13,2013,3,11,4-Jan-00
3/12/13,2013,3,12,4-Jan-00
13/3/2013,2013,3,13,4-Jan-00
14/3/2013,2013,3,14,4-Jan-00
15/3/2013,2013,3,15,4-Jan-00
16/3/2013,2013,3,16,5-Jan-00
17/3/2013,2013,3,17,5-Jan-00
18/3/2013,2013,3,18,5-Jan-00
19/3/2013,2013,3,19,5-Jan-00
20/3/2013,2013,3,20,5-Jan-00
21/3/2013,2013,3,21,5-Jan-00
22/3/2013,2013,3,22,5-Jan-00
23/3/2013,2013,3,23,5-Jan-00
24/3/2013,2013,3,24,5-Jan-00
25/3/2013,2013,3,25,5-Jan-00
26/3/2013,2013,3,26,5-Jan-00
27/3/2013,2013,3,27,5-Jan-00
28/3/2013,2013,3,28,5-Jan-00
29/3/2013,2013,3,29,5-Jan-00
30/3/2013,2013,3,30,5-Jan-00
31/3/2013,2013,3,31,6-Jan-00
4/1/13,2013,4,1,6-Jan-00
4/2/13,2013,4,2,6-Jan-00
4/3/13,2013,4,3,6-Jan-00
4/4/13,2013,4,4,6-Jan-00
4/5/13,2013,4,5,6-Jan-00
4/6/13,2013,4,6,6-Jan-00
4/7/13,2013,4,7,6-Jan-00
4/8/13,2013,4,8,6-Jan-00
4/9/13,2013,4,9,7-Jan-00
4/10/13,2013,4,10,7-Jan-00
4/11/13,2013,4,11,7-Jan-00
4/12/13,2013,4,12,7-Jan-00
13/4/2013,2013,4,13,7-Jan-00
14/4/2013,2013,4,14,7-Jan-00
15/4/2013,2013,4,15,7-Jan-00
16/4/2013,2013,4,16,7-Jan-00
17/4/2013,2013,4,17,7-Jan-00
18/4/2013,2013,4,18,7-Jan-00
19/4/2013,2013,4,19,7-Jan-00
20/4/2013,2013,4,20,7-Jan-00
21/4/2013,2013,4,21,8-Jan-00
22/4/2013,2013,4,22,8-Jan-00
23/4/2013,2013,4,23,8-Jan-00
24/4/2013,2013,4,24,8-Jan-00
25/4/2013,2013,4,25,8-Jan-00
26/4/2013,2013,4,26,8-Jan-00
27/4/2013,2013,4,27,8-Jan-00
28/4/2013,2013,4,28,8-Jan-00
29/4/2013,2013,4,29,8-Jan-00
30/4/2013,2013,4,30,9-Jan-00
5/1/13,2013,5,1,9-Jan-00
5/2/13,2013,5,2,9-Jan-00
5/3/13,2013,5,3,9-Jan-00
5/4/13,2013,5,4,9-Jan-00
5/5/13,2013,5,5,9-Jan-00
5/6/13,2013,5,6,9-Jan-00
5/7/13,2013,5,7,9-Jan-00
5/8/13,2013,5,8,10-Jan-00
5/9/13,2013,5,9,10-Jan-00
5/10/13,2013,5,10,10-Jan-00
5/11/13,2013,5,11,10-Jan-00
5/12/13,2013,5,12,10-Jan-00
13/5/2013,2013,5,13,10-Jan-00
14/5/2013,2013,5,14,10-Jan-00
15/5/2013,2013,5,15,10-Jan-00
16/5/2013,2013,5,16,10-Jan-00
17/5/2013,2013,5,17,11-Jan-00
18/5/2013,2013,5,18,11-Jan-00
19/5/2013,2013,5,19,11-Jan-00
20/5/2013,2013,5,20,11-Jan-00
21/5/2013,2013,5,21,11-Jan-00
22/5/2013,2013,5,22,11-Jan-00
23/5/2013,2013,5,23,11-Jan-00
24/5/2013,2013,5,24,11-Jan-00
25/5/2013,2013,5,25,11-Jan-00
26/5/2013,2013,5,26,12-Jan-00
27/5/2013,2013,5,27,12-Jan-00
28/5/2013,2013,5,28,12-Jan-00
29/5/2013,2013,5,29,12-Jan-00
30/5/2013,2013,5,30,12-Jan-00
31/5/2013,2013,5,31,12-Jan-00
6/1/13,2013,6,1,12-Jan-00
6/2/13,2013,6,2,12-Jan-00
6/3/13,2013,6,3,12-Jan-00
6/4/13,2013,6,4,13-Jan-00
6/5/13,2013,6,5,13-Jan-00
6/6/13,2013,6,6,13-Jan-00
6/7/13,2013,6,7,13-Jan-00
6/8/13,2013,6,8,13-Jan-00
6/9/13,2013,6,9,13-Jan-00
6/10/13,2013,6,10,13-Jan-00
6/11/13,2013,6,11,13-Jan-00
6/12/13,2013,6,12,13-Jan-00
13/6/2013,2013,6,13,13-Jan-00
14/6/2013,2013,6,14,13-Jan-00
15/6/2013,2013,6,15,14-Jan-00
16/6/2013,2013,6,16,14-Jan-00
17/6/2013,2013,6,17,14-Jan-00
18/6/2013,2013,6,18,14-Jan-00
19/6/2013,2013,6,19,14-Jan-00
20/6/2013,2013,6,20,14-Jan-00
21/6/2013,2013,6,21,14-Jan-00
22/6/2013,2013,6,22,14-Jan-00
